sv,sat_x,sat_y,sat_z,pr_m,az_deg,el_deg
G04,9295620.777452,-16274435.235896,21424246.195022,22403000.000000,45.000000,70.000000
G07,18737820.952606,-18940340.995245,7859386.131211,22903000.000000,120.000000,45.000000
G09,-910680.639319,-26737315.775898,-3415899.060537,23203000.000000,200.000000,30.000000
G16,-6547737.636458,-16050668.713850,22178925.805352,22703000.000000,310.000000,55.000000
G18,23932325.303721,-3182467.423403,9345838.454526,23503000.000000,85.000000,15.000000
G26,-16575306.647174,-20141085.611713,3162345.534503,23403000.000000,250.000000,20.000000
G27,9780119.429318,-25320831.797712,8020215.927333,22603000.000000,160.000000,60.000000
G31,7226780.172228,-2553699.342173,26143593.245509,23103000.000000,20.000000,35.000000
E03,-16481706.834690,-9937662.094545,18386494.509079,23302000.000000,300.000000,25.000000
E11,15493248.124141,-10759317.695844,20659423.751556,22802000.000000,60.000000,50.000000
E15,1256024.223229,-23349190.986468,-10594228.604509,23562000.000000,190.000000,12.000000
E24,-4604675.409925,-22433854.182687,16796605.771239,22502000.000000,270.000000,65.000000
